2023-12-15 11:54:18, INFO: Using device: cpu
2023-12-15 11:54:19, INFO: Policy: DAPGRL w/ global state
2023-12-15 11:54:19, INFO: human number: 5
2023-12-15 11:54:19, INFO: Not randomize human's radius and preferred speed
2023-12-15 11:54:19, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-12-15 11:54:19, INFO: Square width: 10.0, circle width: 4.0
2023-12-15 11:54:19, INFO: Load imitation learning trained weights.
2023-12-15 11:54:19, INFO: Agent is invisible and has unicycle kinematic constraint
2023-12-15 11:54:19, INFO: Current learning rate: 0.001000
2023-12-15 12:03:33, INFO: VAL   in episode 0 has success rate: 0.37, collision rate: 0.38, nav time: 12.69, total reward: -1.1365
2023-12-15 12:03:33, INFO: Frequency of being in danger: 0.00 and average min separate distance in danger: 0.00
2023-12-15 12:03:34, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2223
2023-12-15 12:03:36, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.0559
2023-12-15 12:03:37, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.3280
2023-12-15 12:03:42, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.8884
2023-12-15 12:03:46, INFO: TRAIN in episode 4 has success rate: 1.00, collision rate: 0.00, nav time: 19.50, total reward: -0.2683
2023-12-15 12:03:48, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -2.4720
2023-12-15 12:03:53, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.6209
2023-12-15 12:03:53, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2600
2023-12-15 12:03:57, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -5.2149
2023-12-15 12:03:58, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2426
2023-12-15 12:04:04, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -3.5364
2023-12-15 12:04:09, INFO: TRAIN in episode 11 has success rate: 1.00, collision rate: 0.00, nav time: 23.00, total reward: -1.3880
2023-12-15 12:04:09, INFO: TRAIN in episode 12 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.3808
2023-12-15 12:04:14, INFO: TRAIN in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.8969
2023-12-15 12:04:19, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.9199
2023-12-15 12:04:22, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.3888
2023-12-15 12:04:31, INFO: TRAIN in episode 16 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -3.3788
2023-12-15 12:04:34, INFO: TRAIN in episode 17 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.1483
2023-12-15 12:04:43, INFO: TRAIN in episode 18 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.6279
2023-12-15 12:04:50, INFO: TRAIN in episode 19 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.7187
2023-12-15 12:04:51, INFO: TRAIN in episode 20 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.9203
2023-12-15 12:04:57, INFO: TRAIN in episode 21 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.3293
2023-12-15 12:05:02, INFO: TRAIN in episode 22 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.5365
2023-12-15 12:05:04, INFO: TRAIN in episode 23 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.9333
2023-12-15 12:05:10, INFO: TRAIN in episode 24 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.4019
2023-12-15 12:05:11, INFO: TRAIN in episode 25 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2013
2023-12-15 12:05:12, INFO: TRAIN in episode 26 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -2.1581
2023-12-15 12:05:13, INFO: TRAIN in episode 27 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.4114
2023-12-15 12:05:18, INFO: TRAIN in episode 28 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.4807
2023-12-15 12:05:20, INFO: TRAIN in episode 29 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.2595
2023-12-15 12:05:22, INFO: TRAIN in episode 30 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.5788
2023-12-15 12:05:27, INFO: TRAIN in episode 31 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -4.6962
2023-12-15 12:05:32, INFO: TRAIN in episode 32 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.9100
2023-12-15 12:05:38, INFO: TRAIN in episode 33 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.5364
2023-12-15 12:05:39, INFO: TRAIN in episode 34 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.7800
2023-12-15 12:05:42, INFO: TRAIN in episode 35 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -2.1253
2023-12-15 12:05:47, INFO: TRAIN in episode 36 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.9426
2023-12-15 12:05:52, INFO: TRAIN in episode 37 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.0663
2023-12-15 12:05:57, INFO: TRAIN in episode 38 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.1530
2023-12-15 12:06:03, INFO: TRAIN in episode 39 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.8432
2023-12-15 12:06:09, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.4561
2023-12-15 12:06:15, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.6724
2023-12-15 12:06:20, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.2468
2023-12-15 12:06:22, INFO: TRAIN in episode 43 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.5253
2023-12-15 12:06:27, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.2726
2023-12-15 12:06:29, INFO: TRAIN in episode 45 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.3123
2023-12-15 12:06:34, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.3036
2023-12-15 12:06:40, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.8135
2023-12-15 12:06:45, INFO: TRAIN in episode 48 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.6734
2023-12-15 12:06:50, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -3.2429
2023-12-15 12:06:56, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.9656
2023-12-15 12:06:56, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.4124
2023-12-15 12:07:02, INFO: TRAIN in episode 52 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.3673
2023-12-15 12:07:04, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.6802
2023-12-15 12:07:06, INFO: TRAIN in episode 54 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.7045
2023-12-15 12:07:11, INFO: TRAIN in episode 55 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.8465
2023-12-15 12:07:13, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.3529
2023-12-15 12:07:15, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.9951
2023-12-15 12:07:17, INFO: TRAIN in episode 58 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.7916
2023-12-15 12:07:21, INFO: TRAIN in episode 59 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.6441
2023-12-15 12:07:23, INFO: TRAIN in episode 60 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.5270
2023-12-15 12:07:27, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.3624
2023-12-15 12:07:33, INFO: TRAIN in episode 62 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.8840
2023-12-15 12:07:38, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -3.5097
2023-12-15 12:07:44, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.2639
2023-12-15 12:07:49, INFO: TRAIN in episode 65 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.6545
2023-12-15 12:07:51, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.9758
2023-12-15 12:07:52, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -1.3958
2023-12-15 12:07:57, INFO: TRAIN in episode 68 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.9788
2023-12-15 12:08:03, INFO: TRAIN in episode 69 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -1.4529
2023-12-15 12:08:08, INFO: TRAIN in episode 70 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -2.7739
2023-12-15 12:08:09, INFO: TRAIN in episode 71 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.5797
2023-12-15 12:08:10, INFO: TRAIN in episode 72 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.4842
2023-12-15 12:08:15, INFO: TRAIN in episode 73 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -2.3254
2023-12-15 12:08:21, INFO: TRAIN in episode 74 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -3.2993
